ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
,simple,,Balo-Alan-Walker--AL2-(Đen),1,,visible,,,,,taxable,,1,,,,,,,,,,69.000 ₫,90.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Alan-Walker--AL.jpg,,,,,,,,,
,simple,,"Balo-với-họa-tiết-hoa,-bướm-xinh-xắn-NẠM-ĐINH-TÁN-NHỎ-(Trắng)",1,,visible,,,,,taxable,,1,,,,,,,,,,99.000 ₫,150.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Balo-Nữ-Hàn-Quốc-LAZA-BL221-(Xám),1,,visible,,,,,taxable,,1,,,,,,,,,,118.150 ₫,198.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Nu-Han-Quo.jpg,,,,,,,,,
,simple,,Balo-da-PU-mini-(đen),1,,visible,,,,,taxable,,1,,,,,,,,,,61.750 ₫,110.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-da-PU-mini-(de.jpg,,,,,,,,,
,simple,,Balo-Laptop-Hàn-Quốc-LAZA-BL323-(Xanh-Đậm),1,,visible,,,,,taxable,,1,,,,,,,,,,75.650 ₫,150.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Balo-Thời-Trang-Classical-HARAS-HRS205(ĐEN),1,,visible,,,,,taxable,,1,,,,,,,,,,99.000 ₫,199.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Thòi-Trang-C.jpg,,,,,,,,,
,simple,,Balo-emotion-hái-sao---T1078B1-(Đen),1,,visible,,,,,taxable,,1,,,,,,,,,,71.000 ₫,120.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-emotion-hai-sa.jpg,,,,,,,,,
,simple,,Balo-bts,1,,visible,,,,,taxable,,1,,,,,,,,,,70.000 ₫,,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-bts.jpg,,,,,,,,,
,simple,,Balo-Nữ-KOREA-2018-BL376-(Đỏ-Nâu),1,,visible,,,,,taxable,,1,,,,,,,,,,84.150 ₫,198.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Nu-KOREA-2018.jpg,,,,,,,,,
,simple,,Balo-nữ-thời-trang-Hàn-Quốc-NguyenDuongGroup,1,,visible,,,,,taxable,,1,,,,,,,,,,39.979 ₫,59.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-nu-thoi-tra.jpg,,,,,,,,,
,simple,,BALO-THỜI-TRANG-NAM-NỮ-MACKA-,1,,visible,,,,,taxable,,1,,,,,,,,,,46.000 ₫,90.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/BALO-THOI-TRANG-NA.jpg,,,,,,,,,
,simple,,Balo-cá-mập-(a4---kèm-ảnh-thật),1,,visible,,,,,taxable,,1,,,,,,,,,,55.000 ₫,,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-ca-map-(a4--.jpg,,,,,,,,,
,simple,,Balo-Laptop-Glado-Cylinder-Màu-Xàm-BLC006,1,,visible,,,,,taxable,,1,,,,,,,,,,149.000 ₫,280.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Laptop-Glado-Cy.jpg,,,,,,,,,
,simple,,"Balo-chống-trộm,-chống-nước-Có-Cổng-Sạc-USB-vừa-laptop-16inch-LOẠI-DÀY-1120-(xám)",1,,visible,,,,,taxable,,1,,,,,,,,,,179.100 ₫,208.600 ₫,Tshirts,,,"http://localhost/wordpress/wp-content/uploads/2018/05/Balo-chong-trom,.jpg",,,,,,,,,
,simple,,"Balo-da-SH-8863:--Đẳng-cấp,-Phong-cách,-Thời-trang-(Tặng-01-Kẹp-tóc-Thời-trang-Hàn-Quốc)",1,,visible,,,,,taxable,,1,,,,,,,,,,130.500 ₫,250.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-da-SH-8863:--D.jpg,,,,,,,,,
,simple,,"Balo-với-họa-tiết-hoa,-bướm-xinh-xắn-NẠM-ĐINH-TÁN-NHỎ-(Đen)",1,,visible,,,,,taxable,,1,,,,,,,,,,99.000 ₫,150.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Balo-Hàn-Quốc-LAZA-BL363-(Họa-Tiết),1,,visible,,,,,taxable,,1,,,,,,,,,,101.150 ₫,250.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Han-Quoc-LAZ.jpg,,,,,,,,,
,simple,,Ba-lô-Nữ---B002LA-(-Màu-xám-phối-đen-),1,,visible,,,,,taxable,,1,,,,,,,,,,76.500 ₫,199.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Ba-lo-Nu---B002LA.jpg,,,,,,,,,
,simple,,Balo-túi-xách-thời-trang-cao-cấp---ND1007-Ngoc-Diep-Shop,1,,visible,,,,,taxable,,1,,,,,,,,,,205.000 ₫,286.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,SET-BALO-KÈM-VÍ-TIỆN-DỤNG-(KẺ-SỌC),1,,visible,,,,,taxable,,1,,,,,,,,,,51.000 ₫,90.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/SET-BALO-KEM-VI-TI.jpg,,,,,,,,,
,simple,,BALO-ĐI-HỌC-NAM-NỮ-[HÀNG-CHẤT-LƯỢNG-TỐT]-DB113LA-(XANH-PHỐI),1,,visible,,,,,taxable,,1,,,,,,,,,,65.000 ₫,119.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/BALO-DI-HOC-NAM-N.jpg,,,,,,,,,
,simple,,BALO-DA-NỮ-CAO-CẤP-DBN134LA-(ĐEN),1,,visible,,,,,taxable,,1,,,,,,,,,,149.000 ₫,349.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,BALO-DA-NỮ-THỜI-TRANG-KÈM-QUAI-ĐEO-VAI---DBN150LA,1,,visible,,,,,taxable,,1,,,,,,,,,,149.000 ₫,200.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/BALO-DA-NU-THOI-.jpg,,,,,,,,,
,simple,,Balo-kì-lân---Unicorn-backpack,1,,visible,,,,,taxable,,1,,,,,,,,,,230.000 ₫,450.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-ki-lan---Unic.jpg,,,,,,,,,
,simple,,balo-Hello-ulzzang-Hàn-Quốc,1,,visible,,,,,taxable,,1,,,,,,,,,,65.000 ₫,120.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/balo-Hello-ulzzang-H.jpg,,,,,,,,,
,simple,,Balo-Nữ-ROCKMOTO-Xinh-Xắn-KATUS---U017,1,,visible,,,,,taxable,,1,,,,,,,,,,49.000 ₫,99.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Nu-ROCKMOTO-X.jpg,,,,,,,,,
,simple,,Balo-Hàn-Quốc-Cao-Cấp-KATUS---U039,1,,visible,,,,,taxable,,1,,,,,,,,,,169.000 ₫,219.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Han-Quoc-Cao.jpg,,,,,,,,,
,simple,,"Balo-chống-trộm,-chống-nước-Có-Cổng-Sạc-USB-vừa-laptop-16inch-LOẠI-DÀY-1120-(-màu-đen)-+-Tặng-1-móc-khoá-hình-balo",1,,visible,,,,,taxable,,1,,,,,,,,,,169.150 ₫,208.600 ₫,Tshirts,,,"http://localhost/wordpress/wp-content/uploads/2018/05/Balo-chong-trom,.jpg",,,,,,,,,
,simple,,Balo-nữ-mini-họa-tiết-hoa-(Đen),1,,visible,,,,,taxable,,1,,,,,,,,,,89.000 ₫,150.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-nu-mini-hoa.jpg,,,,,,,,,
,simple,,Balo-Unisex-Thời-Trang-Cao-Cấp-PRAZA---BL154-(Tím)-(Tặng-Móc-Khóa)---Hãng-Phân-Phối-Chính-Thức,1,,visible,,,,,taxable,,1,,,,,,,,,,149.000 ₫,249.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Unisex-Thoi-T.jpg,,,,,,,,,
,simple,,Balo-thời-trang-nữ-BLA-335-(Đen)-+-ví-nam-thời-trang-chất-lượng,1,,visible,,,,,taxable,,1,,,,,,,,,,109.650 ₫,180.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,BALO-THỜI-TRANG-2-CHUÔNG-04(VỪA-A4),1,,visible,,,,,taxable,,1,,,,,,,,,,79.000 ₫,150.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/BALO-THOI-TRANG-2-.jpg,,,,,,,,,
,simple,,BALO-NỮ-ĐA-NĂNG-LATA-BAL18-(Bò-đậm),1,,visible,,,,,taxable,,1,,,,,,,,,,166.000 ₫,320.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/BALO-NŨ-DA-NANG.jpg,,,,,,,,,
,simple,,Balo-Thời-Trang-Glado-Classical---BLL002-(Màu-xanh)---Hàng-Phân-Phối-Chính-Thức,1,,visible,,,,,taxable,,1,,,,,,,,,,74.000 ₫,150.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Thòi-Trang-G.jpg,,,,,,,,,
,simple,,Balo-nữ-thời-trang-Hàn-Quốc-A181GL-(Đen)-Container,1,,visible,,,,,taxable,,1,,,,,,,,,,38.250 ₫,89.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-nu-thoi-tra.jpg,,,,,,,,,
,simple,,Balo-thời-trang-nữ-mới-nhất-năm-2017-(Màu-trắng),1,,visible,,,,,taxable,,1,,,,,,,,,,78.000 ₫,120.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Balo-đi-học-HMBL06-1-(Xanh-navy),1,,visible,,,,,taxable,,1,,,,,,,,,,89.100 ₫,259.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-di-hoc-HMBL0.jpg,,,,,,,,,
,simple,,Balo-thời-trang-2404--+Tặng-dụng-cụ-du-lịch-hình-ATM-Container,1,,visible,,,,,taxable,,1,,,,,,,,,,46.750 ₫,99.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-thoi-trang-24.jpg,,,,,,,,,
,simple,,BALO-THỜI-TRANG-KẺ-SỌC-KÈM-TÚI-TIỆN-DỤNG-,1,,visible,,,,,taxable,,1,,,,,,,,,,46.000 ₫,105.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Balo-nữ-thời-trang-trẻ-trung-DT2543,1,,visible,,,,,taxable,,1,,,,,,,,,,99.000 ₫,180.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-nu-thoi-tra.jpg,,,,,,,,,
,simple,,BALO-NỮ-PHONG-CÁCH-THỜI-TRANG,1,,visible,,,,,taxable,,1,,,,,,,,,,62.000 ₫,130.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/BALO-NU-PHONG-CAC.jpg,,,,,,,,,
,simple,,Balo-nữ-thời-trang-Hàn-Quốc-LAZAPAY.VN-A181GL-(Đen),1,,visible,,,,,taxable,,1,,,,,,,,,,38.250 ₫,89.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-nu-thoi-tra.jpg,,,,,,,,,
,simple,,Ba-lô-Canvas-Fortune-Mouse-1603-(Đen)-+-Tặng-kèm-1-móc-khoá-Balo-1603-Fortune-Mouse.,1,,visible,,,,,taxable,,1,,,,,,,,,,126.650 ₫,149.800 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Ba-lo-Canvas-Fortun.jpg,,,,,,,,,
,simple,,Balo-Nữ-D8002-Thời-Trang-Dây-Khóa-Màu-Sắc,1,,visible,,,,,taxable,,1,,,,,,,,,,150.000 ₫,250.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Balo-thời-trang-MUJI-,1,,visible,,,,,taxable,,1,,,,,,,,,,100.000 ₫,200.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-thoi-trang-MU.jpg,,,,,,,,,
,simple,,Balo-đi-học-kiểu-Hàn-Quốc,1,,visible,,,,,taxable,,1,,,,,,,,,,180.000 ₫,300.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-di-hoc-kie.jpg,,,,,,,,,
,simple,,Balo-Panda-siêu-dể-thương,1,,visible,,,,,taxable,,1,,,,,,,,,,50.000 ₫,,Tshirts,,,FALSE,,,,,,,,,
,simple,,"Balo-với-họa-tiết,-hoa-hồng-xinh-xắn-NẠM-ĐINH-TÁN-NHỎ-(Đen)",1,,visible,,,,,taxable,,1,,,,,,,,,,99.000 ₫,150.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Bộ-3-Love-Love-Balo-POHAN-LL02-(Xanh)-+-1-Ví-Khi-Mua-2-Bộ,1,,visible,,,,,taxable,,1,,,,,,,,,,91.000 ₫,130.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Bo-3-Love-Love-Bal.jpg,,,,,,,,,
,simple,,BALÔ-MITADI---BAD-CAT---BLAA154-(-SIZE-L),1,,visible,,,,,taxable,,1,,,,,,,,,,179.000 ₫,305.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/BALO-MITADI---BAD-C.jpg,,,,,,,,,
,simple,,Balo-Thời-trang-dành-cho-các-bạn-gái-SH-0279-(Tặng-01-Kẹp-tóc-Thời-trang-Hàn-Quốc),1,,visible,,,,,taxable,,1,,,,,,,,,,80.300 ₫,150.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,-Balo-da-mềm-hàn-quốc-SB-T03den--,1,,visible,,,,,taxable,,1,,,,,,,,,,73.799 ₫,122.992 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/-Balo-da-mem-han-.jpg,,,,,,,,,
,simple,,Balo-Laptop-Glado-Cylinder-BLC005-(Xám)-+-Tặng-Móc-Khóa-Thời-Trang---Hãng-Phân-Phối-Chính-Thức,1,,visible,,,,,taxable,,1,,,,,,,,,,149.000 ₫,250.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Laptop-Glado-Cy.jpg,,,,,,,,,
,simple,,BALO-MÈO-CHÂN,1,,visible,,,,,taxable,,1,,,,,,,,,,65.000 ₫,,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/BALO-MEO-CHAN.jpg,,,,,,,,,
,simple,,Balo-Nữ-Nút-Cài-Cá-Tính-BL17-Đen,1,,visible,,,,,taxable,,1,,,,,,,,,,229.000 ₫,350.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Nu-Nut-Cai-.jpg,,,,,,,,,
,simple,,Balo-tiện-dụng-thời-trang-nhỏ-nâu,1,,visible,,,,,taxable,,1,,,,,,,,,,89.000 ₫,120.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-tien-dung-t.jpg,,,,,,,,,
,simple,,BALO-THỜI-TRANG-NAM-NỮ-HAHFENG-KÈM-TÚI-TIỆN-DỤNG,1,,visible,,,,,taxable,,1,,,,,,,,,,46.000 ₫,120.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/BALO-THOI-TRANG-NA.jpg,,,,,,,,,
,simple,,Set-4-Túi-xách-+-balo-+-Kèm-ví-+-túi-nhỏ-xinh-cỏ-ba-lá-A117-cao-cấp-(Xanh-Ngọc),1,,visible,,,,,taxable,,1,,,,,,,,,,163.000 ₫,299.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Set-4-Tui-xach-+-b.jpg,,,,,,,,,
,simple,,Balo-thời-trang-Hàn-Quốc-HMBL03-2,1,,visible,,,,,taxable,,1,,,,,,,,,,65.000 ₫,190.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Balo-thời-trang-nữ-mới-nhất-năm-2017-(Xanh-dương-nhạt),1,,visible,,,,,taxable,,1,,,,,,,,,,78.000 ₫,120.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,"Balo-chống-trộm,-chống-nước-Có-Cổng-Sạc-vừa-laptop-16inch-LOẠI-DÀY-1120-(xám)-",1,,visible,,,,,taxable,,1,,,,,,,,,,169.000 ₫,230.000 ₫,Tshirts,,,"http://localhost/wordpress/wp-content/uploads/2018/05/Balo-chong-trom,.jpg",,,,,,,,,
,simple,,BALO-DA-MINI-THỜI-TRANG-OFF-WHITE,1,,visible,,,,,taxable,,1,,,,,,,,,,51.000 ₫,105.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/BALO-DA-MINI-THOI-.jpg,,,,,,,,,
